Date,Close/Last,Volume,Open,High,Low
08/16/2021,5.5475,N/A,5.7267,5.5918,5.208
08/15/2021,5.7427,N/A,5.4121,5.9375,5.679
08/14/2021,5.4377,N/A,5.2881,5.5758,5.3596
08/13/2021,5.2749,N/A,4.7381,5.4615,5.1455
08/12/2021,4.7575,N/A,4.9963,4.7775,4.6117
08/11/2021,5.0401,N/A,4.6768,5.0869,4.7452
08/10/2021,4.6654,N/A,4.5045,4.6877,4.5892
08/09/2021,4.4892,N/A,4.2517,4.5615,4.4528
08/08/2021,4.2533,N/A,4.5177,4.3121,4.161
08/07/2021,4.5174,N/A,4.446,4.6604,4.4373
08/06/2021,4.4447,N/A,4.1435,4.4611,4.2822
08/05/2021,4.1372,N/A,4.0941,4.213,4.1372
08/04/2021,4.0917,N/A,3.9914,4.1418,4.0478
08/03/2021,4.0027,N/A,3.9555,4.0659,3.9845
08/02/2021,3.946,N/A,3.9719,4.0896,3.9402
08/01/2021,3.9694,N/A,4.2138,3.9806,3.8926
07/31/2021,4.2003,N/A,4.0989,4.201,4.0438
07/30/2021,4.0977,N/A,3.9784,4.1928,4.0261
07/29/2021,3.9766,N/A,3.8265,3.9988,3.9427
07/28/2021,3.8346,N/A,3.7686,3.9197,3.8056
07/27/2021,3.7734,N/A,3.6244,3.8207,3.7078
07/26/2021,3.646,N/A,3.8529,3.7412,3.6048
07/25/2021,3.8697,N/A,3.646,3.9157,3.6388
07/24/2021,3.6229,N/A,3.6659,3.6325,3.5847
07/23/2021,3.6637,N/A,3.6051,3.6729,3.6151
07/22/2021,3.5999,N/A,3.459,3.6436,3.5367
07/21/2021,3.4659,N/A,3.2945,3.5444,3.4407
07/20/2021,3.2863,N/A,3.2041,3.2957,3.2105
07/19/2021,3.1959,N/A,3.6163,3.5389,3.1594
07/18/2021,3.6218,N/A,3.7379,3.6542,3.5672
07/17/2021,3.7282,N/A,3.6257,3.7715,3.6515
07/16/2021,3.6333,N/A,3.7404,3.7752,3.5884
07/15/2021,3.7411,N/A,3.7807,3.7659,3.6341
