Date,Close/Last,Volume,Open,High,Low
09/20/2021,1.29418,N/A,1.43001,1.31823,1.20425
09/19/2021,1.43651,N/A,1.60406,1.52726,1.41153
09/18/2021,1.60912,N/A,1.65877,1.65478,1.58719
09/17/2021,1.68944,N/A,1.5102,1.74192,1.67155
09/16/2021,1.50353,N/A,1.54981,1.51439,1.48478
09/15/2021,1.54532,N/A,1.54071,1.6249,1.53124
09/14/2021,1.54167,N/A,1.4434,1.59213,1.53852
09/13/2021,1.44942,N/A,1.39785,1.46306,1.3766
09/12/2021,1.42862,N/A,1.47991,1.51902,1.41819
09/11/2021,1.4729,N/A,1.48952,1.51066,1.44698
09/10/2021,1.47976,N/A,1.71671,1.5496,1.4741
09/09/2021,1.7113,N/A,1.4953,1.73262,1.54795
09/08/2021,1.49245,N/A,1.57015,1.54257,1.48979
09/07/2021,1.56238,N/A,1.83501,1.62594,1.4835
09/06/2021,1.83666,N/A,1.76519,1.87563,1.7914
09/05/2021,1.85416,N/A,1.63071,1.97913,1.77784
09/04/2021,1.85647,N/A,1.57944,1.97913,1.83645
09/03/2021,1.57464,N/A,1.57923,1.60891,1.54623
09/02/2021,1.57913,N/A,1.23974,1.596,1.49029
09/01/2021,1.23806,N/A,0.97503,1.26187,1.12175
08/31/2021,0.9713,N/A,0.9761,0.9894,0.95915
08/30/2021,0.97889,N/A,0.98286,0.98004,0.95078
08/29/2021,0.98131,N/A,0.9845,1.00501,0.97664
08/28/2021,0.98743,N/A,1.01704,1.02787,0.98312
08/27/2021,1.02018,N/A,0.95023,1.03953,1.01497
08/26/2021,1.00247,N/A,1.01148,1.08685,0.99712
08/25/2021,1.03473,N/A,1.0513,1.08685,1.03203
08/24/2021,1.05164,N/A,1.14121,1.07736,1.04618
08/23/2021,1.14147,N/A,1.16215,1.16419,1.11691
08/22/2021,1.15528,N/A,1.06585,1.17036,1.14312
08/21/2021,1.06474,N/A,1.09038,1.08326,1.06076
08/20/2021,1.08912,N/A,1.04159,1.10241,1.07759
08/19/2021,1.04151,N/A,0.97087,1.06432,1.03499
08/18/2021,0.9737,N/A,1.00565,1.01055,0.96912
08/17/2021,0.99742,N/A,1.10591,1.02588,0.96013
08/16/2021,1.10891,N/A,1.15592,1.1156,1.05953
08/15/2021,1.15933,N/A,1.14431,1.18221,1.15583
08/14/2021,1.15669,N/A,1.07726,1.17056,1.13466
08/13/2021,1.08292,N/A,1.03519,1.10304,1.07912
08/12/2021,1.03841,N/A,1.07015,1.06868,1.02172
08/11/2021,1.07878,N/A,0.97934,1.1025,1.03603
08/10/2021,0.97673,N/A,0.89332,0.97924,0.95517
08/09/2021,0.89151,N/A,0.84271,0.90776,0.8867
08/08/2021,0.84408,N/A,0.9077,0.85767,0.82869
08/07/2021,0.90948,N/A,0.89402,0.92079,0.89305
08/06/2021,0.89471,N/A,0.82574,0.901,0.87893
08/05/2021,0.8258,N/A,0.83896,0.85055,0.82571
08/04/2021,0.83953,N/A,0.82086,0.85232,0.82802
08/03/2021,0.82462,N/A,0.8582,0.82999,0.8123
08/02/2021,0.85439,N/A,0.86469,0.87574,0.85141
08/01/2021,0.86424,N/A,0.92126,0.87311,0.84286
07/31/2021,0.92714,N/A,0.82999,0.93856,0.91078
07/30/2021,0.82786,N/A,0.84014,0.83163,0.8114
07/29/2021,0.84175,N/A,0.80892,0.84491,0.82102
