Date,Close/Last,Volume,Open,High,Low
09/25/2021,2.2529,N/A,2.3596,2.2999,2.2109
09/24/2021,2.3471,N/A,2.2813,2.364,2.2395
09/23/2021,2.2902,N/A,2.2883,2.3436,2.2846
09/22/2021,2.2753,N/A,2.049,2.2844,2.1987
09/21/2021,2.0604,N/A,2.0979,2.078,1.9691
09/20/2021,2.1077,N/A,2.1688,2.151,1.9732
09/19/2021,2.1655,N/A,2.3491,2.2884,2.135
09/18/2021,2.3576,N/A,2.3758,2.3719,2.3372
09/17/2021,2.3535,N/A,2.4288,2.3535,2.3126
09/16/2021,2.4125,N/A,2.4431,2.4323,2.4005
09/15/2021,2.445,N/A,2.3833,2.5058,2.4195
09/14/2021,2.3836,N/A,2.3974,2.4059,2.3756
09/13/2021,2.4038,N/A,2.4086,2.4238,2.3739
09/12/2021,2.4311,N/A,2.592,2.5922,2.4186
09/11/2021,2.588,N/A,2.3937,2.6378,2.5119
09/10/2021,2.3806,N/A,2.5578,2.4422,2.3699
09/09/2021,2.5452,N/A,2.4242,2.5848,2.4961
09/08/2021,2.4204,N/A,2.4572,2.5043,2.3969
09/07/2021,2.4696,N/A,2.8267,2.5614,2.4561
09/06/2021,2.8296,N/A,2.9076,2.8747,2.8079
09/05/2021,2.89392,N/A,2.92526,2.91858,2.82403
09/04/2021,2.86039,N/A,2.96175,2.91858,2.82735
09/03/2021,2.95901,N/A,2.97407,2.96529,2.91708
09/02/2021,2.96754,N/A,3.02435,2.97181,2.903
09/01/2021,3.01349,N/A,2.76202,3.03868,2.8368
08/31/2021,2.75874,N/A,2.79153,2.77653,2.72261
08/30/2021,2.79785,N/A,2.80042,2.81454,2.70682
08/29/2021,2.79783,N/A,2.74663,2.88326,2.78549
08/28/2021,2.75929,N/A,2.84604,2.86622,2.74767
08/27/2021,2.84941,N/A,2.52999,2.94921,2.82214
08/26/2021,2.56699,N/A,2.6357,2.78464,2.52809
08/25/2021,2.6397,N/A,2.72792,2.78464,2.6184
08/24/2021,2.72725,N/A,2.84678,2.79046,2.71018
08/23/2021,2.85057,N/A,2.8061,2.94634,2.83099
08/22/2021,2.79966,N/A,2.49831,2.84704,2.68976
08/21/2021,2.49483,N/A,2.49658,2.54485,2.43367
08/20/2021,2.47978,N/A,2.39719,2.49936,2.4078
08/19/2021,2.3906,N/A,2.08374,2.45523,2.37337
08/18/2021,2.10236,N/A,1.97749,2.18283,2.07479
08/17/2021,1.96789,N/A,2.12205,1.986,1.87868
08/16/2021,2.12196,N/A,2.11532,2.14005,2.03338
08/15/2021,2.1233,N/A,2.1529,2.18707,2.12318
08/14/2021,2.16022,N/A,2.11981,2.24931,2.15502
