Date,Close/Last,Volume,Open,High,Low
10/08/2021,7.39847,N/A,7.60704,7.41019,7.20962
10/07/2021,7.59074,N/A,7.51075,7.80226,7.53605
10/06/2021,7.54663,N/A,7.57561,7.9086,7.44896
10/05/2021,7.65163,N/A,8.42078,8.00265,7.60795
10/04/2021,8.31336,N/A,8.35633,8.47675,8.24394
10/03/2021,8.31794,N/A,7.99451,9.14822,8.31417
10/02/2021,8.00118,N/A,6.5786,8.23631,7.3419
10/01/2021,6.61036,N/A,6.44699,6.79251,6.53077
09/30/2021,6.32338,N/A,5.94649,6.36867,6.01198
09/29/2021,5.92572,N/A,5.68,5.95839,5.59525
09/28/2021,5.67653,N/A,6.08538,5.67653,5.35531
09/27/2021,6.42533,N/A,6.66999,6.66145,6.33438
09/26/2021,6.41568,N/A,6.9153,6.66145,6.33438
09/25/2021,6.90303,N/A,7.37642,7.05649,6.7312
09/24/2021,7.40463,N/A,6.39314,7.49321,6.87443
09/23/2021,6.41662,N/A,5.7847,6.55292,6.20887
09/22/2021,5.78218,N/A,4.79636,5.8114,5.51097
09/21/2021,4.83185,N/A,5.16306,4.93611,4.51717
09/20/2021,5.19609,N/A,5.82494,5.32413,4.83439
09/19/2021,5.83086,N/A,6.40197,6.53997,5.71947
09/18/2021,6.46905,N/A,6.20426,6.61626,6.27655
09/17/2021,6.1028,N/A,6.86122,6.11693,5.92287
09/16/2021,6.81209,N/A,6.69014,6.95953,6.66081
09/15/2021,6.66209,N/A,7.24023,6.94838,6.58046
09/14/2021,7.23005,N/A,7.71246,7.42936,7.06179
09/13/2021,7.56727,N/A,6.85285,7.57456,6.83504
09/12/2021,7.11535,N/A,6.11871,7.64294,7.019
09/11/2021,6.0711,N/A,6.6172,6.33078,5.90838
09/10/2021,6.49955,N/A,6.06974,6.9295,6.07562
09/09/2021,6.05382,N/A,4.35757,6.50917,5.58316
09/08/2021,4.33377,N/A,4.34029,4.42275,4.26734
09/07/2021,4.36049,N/A,5.57061,4.50706,4.31621
09/06/2021,5.59029,N/A,5.45713,5.6776,5.49588
09/05/2021,5.35464,N/A,5.42251,5.46404,5.27253
09/04/2021,5.30274,N/A,5.32241,5.46404,5.29809
09/03/2021,5.31759,N/A,5.27901,5.35883,5.24641
09/02/2021,5.28338,N/A,5.31287,5.30298,5.12058
09/01/2021,5.30295,N/A,5.12865,5.43927,5.28344
08/31/2021,5.11728,N/A,5.31466,5.1848,5.01319
08/30/2021,5.31653,N/A,5.57048,5.3925,5.12905
08/29/2021,5.54626,N/A,5.47016,5.99824,5.48419
08/28/2021,5.53992,N/A,5.1399,5.73644,5.40192
08/27/2021,5.17006,N/A,4.30703,5.37823,5.12136
08/26/2021,4.5242,N/A,4.04383,5.10725,4.47925
08/25/2021,4.70187,N/A,4.10243,5.10725,4.68671
08/24/2021,4.12407,N/A,4.23102,4.18013,3.95899
08/23/2021,4.23131,N/A,3.84244,4.31833,4.16138
08/22/2021,3.83585,N/A,3.7579,3.8398,3.78323
08/21/2021,3.7465,N/A,3.70866,3.79458,3.68159
08/20/2021,3.72121,N/A,3.6059,3.72974,3.6761
08/19/2021,3.60694,N/A,3.31251,3.68751,3.59096
08/18/2021,3.32933,N/A,3.35091,3.39156,3.29239
08/17/2021,3.34065,N/A,3.74737,3.46741,3.23558
08/16/2021,3.75175,N/A,3.72955,3.7685,3.52318
08/15/2021,3.73661,N/A,3.65341,3.79246,3.72912
08/14/2021,3.69081,N/A,3.63896,3.76135,3.65057
08/13/2021,3.62955,N/A,3.3997,3.69121,3.58564
08/12/2021,3.40186,N/A,3.56514,3.40368,3.29929
08/11/2021,3.5906,N/A,3.3542,3.60522,3.44086
08/10/2021,3.3397,N/A,3.27264,3.35567,3.26298
08/09/2021,3.2639,N/A,3.15847,3.33669,3.23973
08/08/2021,3.15922,N/A,3.42913,3.19916,3.10891
08/07/2021,3.42401,N/A,3.48243,3.48776,3.39555
08/06/2021,3.48185,N/A,3.16376,3.49594,3.30832
08/05/2021,3.16157,N/A,3.19277,3.22934,3.15309
08/04/2021,3.1756,N/A,3.02712,3.19421,3.11609
08/03/2021,3.03864,N/A,3.06749,3.07762,3.00782
08/02/2021,3.06388,N/A,2.97221,3.20231,3.05304
08/01/2021,2.96659,N/A,3.1709,2.98314,2.89257
07/31/2021,3.16592,N/A,2.9924,3.1753,3.01221
07/30/2021,2.9908,N/A,2.88107,3.0116,2.92006
07/29/2021,2.88274,N/A,2.75869,2.89653,2.84446
07/28/2021,2.76136,N/A,2.8331,2.80678,2.74042
07/27/2021,2.83227,N/A,2.75908,2.87628,2.81545
07/26/2021,2.79315,N/A,3.00977,2.8938,2.74353
07/25/2021,3.03071,N/A,2.69095,3.0645,2.87763
07/24/2021,2.8315,N/A,2.72646,2.8315,2.7508
07/23/2021,2.73468,N/A,2.57246,2.78458,2.64997
07/22/2021,2.56485,N/A,2.3658,2.59142,2.49548
07/21/2021,2.36612,N/A,2.18289,2.42279,2.33655
07/20/2021,2.17997,N/A,2.15578,2.18361,2.10345
07/19/2021,2.15594,N/A,2.397,2.33324,2.13757
07/18/2021,2.3985,N/A,2.47697,2.44127,2.36938
07/17/2021,2.47273,N/A,2.40796,2.49289,2.40283
07/16/2021,2.40709,N/A,2.61714,2.47418,2.36954
07/15/2021,2.60839,N/A,2.67756,2.62584,2.54954
07/14/2021,2.65849,N/A,2.67333,2.75031,2.65403
07/13/2021,2.56998,N/A,2.81341,2.8167,2.56964
07/12/2021,2.84578,N/A,2.9158,2.85804,2.78253
07/11/2021,2.94265,N/A,2.7976,2.94375,2.82999
07/10/2021,2.7593,N/A,2.72654,2.83609,2.75927
07/09/2021,2.76147,N/A,2.61555,2.80541,2.72187
07/08/2021,2.66418,N/A,2.8394,2.69775,2.58751
07/07/2021,2.83216,N/A,2.92928,2.88893,2.79646
07/06/2021,2.9259,N/A,2.86571,2.93281,2.81737
07/05/2021,2.86463,N/A,2.98114,2.89933,2.82492
07/04/2021,2.97537,N/A,3.00903,3.04082,2.96958
07/03/2021,3.00805,N/A,2.85839,3.02418,2.87733
07/02/2021,2.88683,N/A,2.79233,2.97187,2.88337
07/01/2021,2.79423,N/A,2.96896,2.96708,2.78588
06/30/2021,2.97529,N/A,2.91315,3.06056,2.96827
06/29/2021,2.93699,N/A,2.76686,3.02191,2.90886
06/28/2021,2.76476,N/A,2.59081,2.8094,2.70086
06/27/2021,2.59114,N/A,2.56978,2.63016,2.57711
06/26/2021,2.57894,N/A,2.57324,2.58972,2.515
06/25/2021,2.57953,N/A,2.81624,2.59976,2.4999
06/24/2021,2.8088,N/A,2.63734,2.87685,2.76364
06/23/2021,2.61624,N/A,2.59334,2.73594,2.57362
06/22/2021,2.58957,N/A,2.63929,2.61481,2.28067
06/21/2021,2.6447,N/A,2.97067,2.65478,2.4087
06/20/2021,2.96298,N/A,3.04478,3.09589,2.96293
06/19/2021,3.0479,N/A,3.05548,3.05349,2.98222
06/18/2021,3.04506,N/A,3.31009,3.13876,3.03132
06/17/2021,3.31599,N/A,3.20066,3.38317,3.25013
06/16/2021,3.20403,N/A,3.27574,3.21458,3.11482
06/15/2021,3.27626,N/A,3.31289,3.28131,3.1963
06/14/2021,3.32796,N/A,3.24912,3.37784,3.28956
06/13/2021,3.23194,N/A,3.11814,3.34943,3.21744
06/12/2021,3.04193,N/A,2.95869,3.1816,3.03077
06/11/2021,2.95576,N/A,3.2552,3.13583,2.95567
06/10/2021,3.26921,N/A,3.45938,3.30969,3.18238
06/09/2021,3.45243,N/A,3.26898,3.53566,3.44681
06/08/2021,3.29455,N/A,3.3134,3.45928,3.22765
06/07/2021,3.2929,N/A,3.89582,3.57665,3.20851
06/06/2021,3.88889,N/A,3.41997,3.9547,3.79948
06/05/2021,3.41851,N/A,3.62214,3.45238,3.40806
06/04/2021,3.62997,N/A,3.68507,3.64824,3.5428
06/03/2021,3.68397,N/A,3.7909,3.89755,3.60842
06/02/2021,3.79126,N/A,3.7021,3.84431,3.73131
06/01/2021,3.71222,N/A,3.50256,3.72181,3.58472
05/31/2021,3.4893,N/A,3.18538,3.62483,3.47515
05/30/2021,3.16916,N/A,3.24742,3.34887,3.15982
05/29/2021,3.23865,N/A,3.53572,3.25896,3.02334
05/28/2021,3.51294,N/A,3.83716,3.5535,3.38773
05/27/2021,3.79162,N/A,3.66546,3.92885,3.74685
05/26/2021,3.62486,N/A,3.82332,3.94018,3.58459
05/25/2021,3.82349,N/A,3.50156,3.82364,3.58231
05/24/2021,3.48612,N/A,3.00385,3.72129,3.38512
05/23/2021,3.0181,N/A,3.47877,3.07729,2.84564
05/22/2021,3.46147,N/A,3.56477,3.59769,3.36499
05/21/2021,3.55966,N/A,4.19672,3.73022,3.50903
05/20/2021,4.20634,N/A,3.63729,4.39211,4.16488
05/19/2021,3.58386,N/A,5.25852,3.71947,3.20175
05/18/2021,5.29945,N/A,5.39558,5.82908,5.25036
05/17/2021,5.38464,N/A,5.18166,5.39442,5.10836
05/16/2021,5.17516,N/A,5.91717,5.67729,5.17018
05/15/2021,5.87501,N/A,6.36236,5.95033,5.75618
05/14/2021,6.37103,N/A,6.07782,6.51021,6.31841
05/13/2021,6.11125,N/A,6.18291,6.21996,6.06523
05/12/2021,6.15949,N/A,6.98402,6.29468,5.82672
05/11/2021,7.00911,N/A,6.01465,7.17786,6.95909
05/10/2021,6.05488,N/A,7.17947,6.29694,5.9234
05/09/2021,7.16995,N/A,6.79821,7.22267,7.0232
05/08/2021,6.976,N/A,7.20823,7.15103,6.91515
05/07/2021,7.21504,N/A,7.66824,7.28491,6.9676
05/06/2021,7.75969,N/A,6.83991,8.39994,7.52101
05/05/2021,6.82629,N/A,5.74125,6.86629,6.57465
05/04/2021,5.75233,N/A,5.58788,5.75233,5.67377
05/03/2021,5.55841,N/A,5.71566,6.03551,5.54795
05/02/2021,5.7446,N/A,5.52766,5.75796,5.58738
05/01/2021,5.57119,N/A,5.71754,5.85461,5.57047
04/30/2021,5.71509,N/A,5.28083,5.7166,5.54453
04/29/2021,5.27671,N/A,5.22244,5.28565,5.12423
04/28/2021,5.18443,N/A,5.32677,5.31752,5.12764
04/27/2021,5.41421,N/A,5.2772,5.5435,5.37677
04/26/2021,5.288,N/A,4.82429,5.35043,5.14861
04/25/2021,4.80667,N/A,4.43712,4.84019,4.403
04/24/2021,4.44655,N/A,4.72384,4.5989,4.41512
04/23/2021,4.75294,N/A,4.60046,4.82316,4.52862
04/22/2021,4.59506,N/A,5.21819,5.06489,4.13782
04/21/2021,5.20551,N/A,5.52732,5.44986,5.20388
04/20/2021,5.54393,N/A,5.14844,5.77251,5.54393
04/19/2021,5.15364,N/A,6.36082,5.47792,5.09611
04/18/2021,6.40261,N/A,5.73873,6.40261,6.00962
04/17/2021,5.57963,N/A,7.4669,7.15056,5.22429
04/16/2021,7.42071,N/A,7.14736,7.57951,7.16508
04/15/2021,7.17832,N/A,6.55166,7.25483,6.77853
04/14/2021,6.5429,N/A,6.7132,6.59312,6.37999
04/13/2021,6.74582,N/A,6.25483,6.80813,6.51576
04/12/2021,6.23783,N/A,6.39092,6.35955,6.23778
04/11/2021,6.41242,N/A,6.53305,6.45526,6.31494
04/10/2021,6.51206,N/A,6.98966,6.59639,6.3782
04/09/2021,6.99673,N/A,6.099,7.18473,6.68002
04/08/2021,6.11191,N/A,5.70754,6.28801,6.10266
04/07/2021,5.7312,N/A,6.2645,5.74192,5.477
04/06/2021,6.19395,N/A,6.34296,6.24091,5.92934
04/05/2021,6.40235,N/A,5.21102,6.43552,6.01087
04/04/2021,5.22628,N/A,4.87642,5.28468,5.01133
04/03/2021,4.85659,N/A,5.25133,4.90466,4.68762
04/02/2021,5.2518,N/A,5.03784,5.36206,5.2077
04/01/2021,4.99381,N/A,4.86711,5.14478,4.98202
03/31/2021,4.80218,N/A,4.50664,4.95077,4.79277
03/30/2021,4.44133,N/A,4.64747,4.61674,4.38368
03/29/2021,4.64422,N/A,4.29488,4.76281,4.58629
03/28/2021,4.31758,N/A,4.21056,4.32985,4.18363
03/27/2021,4.21913,N/A,4.15955,4.22828,4.07481
03/26/2021,4.13118,N/A,3.96292,4.21835,4.12036
03/25/2021,4.04475,N/A,3.86159,4.08061,3.91575
03/24/2021,3.83825,N/A,4.17715,4.04696,3.75807
03/23/2021,4.17473,N/A,4.1572,4.19263,4.05326
03/22/2021,4.15492,N/A,4.23796,4.2108,4.02806
03/21/2021,4.23977,N/A,4.27603,4.25056,4.09638
03/20/2021,4.26557,N/A,4.31185,4.41428,4.23204
03/19/2021,4.29724,N/A,4.23368,4.3302,4.20703
03/18/2021,4.23529,N/A,4.27773,4.26645,4.13428
03/17/2021,4.27352,N/A,3.92542,4.44681,4.27112
03/16/2021,3.92833,N/A,3.81127,4.0471,3.92703
03/15/2021,3.77709,N/A,4.02838,3.88198,3.69528
03/14/2021,4.02758,N/A,4.15392,4.05196,3.93615
03/13/2021,4.14022,N/A,3.889,4.18931,4.07986
03/12/2021,3.86468,N/A,4.05903,3.96544,3.80421
03/11/2021,4.05704,N/A,4.08723,4.14415,4.04061
03/10/2021,4.07711,N/A,4.22177,4.16389,4.03144
03/09/2021,4.20005,N/A,4.41033,4.47324,4.11547
03/08/2021,4.4226,N/A,4.26783,4.53411,4.37582
03/07/2021,4.27197,N/A,3.86029,4.28734,4.09109
03/06/2021,3.86197,N/A,3.84144,3.90795,3.83906
03/05/2021,3.83291,N/A,3.53752,3.88437,3.76167
03/04/2021,3.56114,N/A,3.73898,3.66371,3.447
03/03/2021,3.75353,N/A,3.91158,3.96405,3.73019
03/02/2021,3.9264,N/A,3.63665,3.93008,3.66216
03/01/2021,3.60704,N/A,3.44936,3.68507,3.53964
02/28/2021,3.45602,N/A,3.33908,3.51952,3.39714
02/27/2021,3.38928,N/A,3.60291,3.66307,3.3108
02/26/2021,3.57796,N/A,3.40228,3.64535,3.46124
02/25/2021,3.40767,N/A,3.42507,3.47461,3.19904
02/24/2021,3.44377,N/A,3.70008,3.62259,3.42056
02/23/2021,3.73404,N/A,3.87533,3.78111,3.35693
02/22/2021,3.76342,N/A,4.43372,4.27973,3.7579
02/21/2021,4.40648,N/A,4.73564,4.6717,4.35462
02/20/2021,4.68493,N/A,5.0122,4.74501,4.50233
02/19/2021,4.98411,N/A,4.67637,5.03878,4.78877
02/18/2021,4.66895,N/A,4.67266,4.93215,4.58366
02/17/2021,4.65304,N/A,4.19195,4.70546,4.58819
02/16/2021,4.23786,N/A,4.66741,4.53214,4.19761
02/15/2021,4.64729,N/A,4.27507,4.73538,4.31194
02/14/2021,4.21871,N/A,5.21731,4.92894,3.85377
02/13/2021,5.25122,N/A,5.04235,5.58179,5.13877
02/12/2021,5.13907,N/A,4.10697,5.19892,4.93851
02/11/2021,4.09026,N/A,3.99649,4.36819,4.01817
02/10/2021,4.00084,N/A,3.65993,4.0803,3.79292
02/09/2021,3.66632,N/A,3.36329,3.87877,3.61543
02/08/2021,3.37278,N/A,3.33837,3.39883,3.18075
02/07/2021,3.33049,N/A,3.08659,3.37497,3.22578
02/06/2021,3.06227,N/A,3.21462,3.2373,3.06227
02/05/2021,3.23072,N/A,3.05806,3.4948,3.08513
02/04/2021,3.06299,N/A,3.13562,3.07318,2.95674
02/03/2021,3.04814,N/A,3.05753,3.04992,2.92852
02/02/2021,3.04938,N/A,2.87519,3.16037,2.89127
02/01/2021,2.88018,N/A,2.82593,2.92695,2.83215
01/31/2021,2.83371,N/A,2.89784,2.85302,2.75543
